url,id,title,desc,tag,category,organization,num_of_downloads,updated_date,format,publication_date,update_frequency,updated_on_time,publication_type,num_of_files,num_of_visits,download_rate,download_rate_fixed,external
http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AD2002014008,AD2002014008,专利工作者培训人数,上海对企事业单位从事专利管理和服务人员开展培训，统计每年新增人数。,专利工作者，培训人数,教育科技,上海市知识产权局,2,2015年04月22日更新,XLSX,12/11/2014,每年,未到更新时间,普通公开,1,45,4.44%,13.33%,非外链
http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AD2002014007,AD2002014007,专利工程师人数,专利工程师人数包括：上海每年新增专利工作者人数及历年累计的总人数。,专利工程师，人数,教育科技,上海市知识产权局,5,2015年04月22日更新,XLS,12/11/2014,每年,未到更新时间,普通公开,1,37,13.51%,40.54%,非外链
http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AD2002014002,AD2002014002,国家知识产权局专利局上海代办处服务时间,受理窗口9:00—11:30； 13:30—16:00             收费窗口9:00—11:30； 12:00——16:00,国家知识产权局专利局上海代办处，服务时间,教育科技,上海市知识产权局,15,2015年04月22日更新,XLSX,12/10/2014,每年,未到更新时间,普通公开,1,59,25.42%,76.27%,非外链
http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AD2002014003,AD2002014003,上海市专利代理机构名录,上海市专利代理机构名录提供在上海注册登记的专利代理机构的名称、地址、邮编、联系方式。,上海市，专利代理机构，名录,教育科技,上海市知识产权局,11,2015年04月21日更新,XLS,12/11/2014,每年,未到更新时间,普通公开,1,49,22.45%,67.35%,非外链
http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AD1002015012,AD1002015012,赛事信息,上海市地区内体育比赛的相关赛事信息，包括比赛项目、时间、地点、阶段等,赛事信息,文化休闲,上海市体育局,9,2015年04月14日更新,XLS,1/21/2015,每年,未到更新时间,普通公开,1,93,9.68%,29.03%,非外链
http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AD1002015010,AD1002015010,体育机构,上海市体育局、市体育局直属单位、各区县体育局、各协会的名称、地址、电话、邮编,体育机构,文化休闲,上海市体育局,15,2015年04月10日更新,XLSX,1/21/2015,每年,未到更新时间,普通公开,1,131,11.45%,34.35%,非外链
http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AD2002014005,AD2002014005,上海市企事业专利工作试点示范单位名录,上海市企事业专利工作试点示范单位名录包括单位名称、地址、邮编等信息。,上海市，企事业专利工作试点示范单位，名录,教育科技,上海市知识产权局,5,2015年04月10日更新,XLS,12/11/2014,每年,未到更新时间,普通公开,2,26,9.62%,28.85%,非外链
http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AD2002014001,AD2002014001,上海市“销售真牌真品，保护知识产权”承诺单位名单,根据《关于倡导本市商业系统开展“销售真牌真品，保护知识产权”承诺活动的意见》（沪知局[2009]38号），经企业自主申报、区县审核推荐、市承诺活动办公室评审通过，现将上海市“销售真牌真品，保护知识产权”承诺单位名单向社会公示。,销售真牌真品，保护知识产权，承诺单位名单,民生服务,上海市知识产权局,5,2015年04月09日更新,XLS,12/10/2014,每年,未到更新时间,普通公开,1,33,15.15%,45.45%,非外链
http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AD2002014004,AD2002014004,上海市知识产权试点示范园区名录,上海市知识产权试点示范园区名录包括园区名称、地址、邮编等信息。,上海市，知识产权试点示范园区，名录,教育科技,上海市知识产权局,1,2015年04月09日更新,XLS,12/11/2014,每年,未到更新时间,普通公开,1,15,6.67%,20.00%,非外链
http://www.datashanghai.gov.cn/query!queryGdsDataInfoById.action?type=0&dataId=AB9002015006,AB9002015006,上海中心城区每月供水水量,上海市中心城区各公共供水企业每月的供水水量信息，包含水厂名称及水量累计信息.,供水水量,资源环境,上海市水务局,15,2015年04月01日更新,XLS,1/5/2015,每月,按时,特定公开,1,218,6.88%,20.64%,非外链
